4310,1710,1505,2480,1
4310,1710,1661,2633,1
4310,1710,1663,2654,1
4310,1710,1521,2443,1
4310,1710,1505,2480,1
4305,1775,1750,2293,4
4403,1774,1863,2991,4
3880,1822,1553,2480,2
3900,1833,1413,2480,2
3863,1595,1520,2375,0
3863,1595,1818,2334,0
3863,1595,1744,2554,0
5200,1994,1833,2884,2
4660,1870,1755,2293,2
4597,1788,1477,2685,3
4597,1788,1477,2685,3
4597,1788,1477,2683,3
4597,1788,1477,2688,3
4597,1788,1477,2774,3
4597,1788,1477,2774,3
4597,1788,1477,2685,3
4305,1680,1750,2720,4
4393,1680,1750,2720,4
4427,1680,1750,2720,4
4536,1680,1750,2720,4
4552,1680,1750,2720,4
